# Generated by workflow/scripts/update_genomes.py from the Ensembl FTP listings.
# Do not edit by hand - rerun the script instead.
# Columns: release,species,common name,genome assembly
release-86,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-86,meleagris_gallopavo,wild turkey,UMD2
release-86,monodelphis_domestica,gray short-tailed opossum,BROADO5
release-86,mus_musculus,mouse,GRCm38
release-86,nomascus_leucogenys,northern white-cheeked gibbon,Nleu1.0
release-86,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-86,ovis_aries,sheep,Oar_v3.1
release-86,pan_troglodytes,chimpanzee,CHIMP2.1.4
release-86,pongo_abelii,sumatran orangutan,PPYG2
release-86,rattus_norvegicus,rat,Rnor_6.0
release-86,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-86,sus_scrofa,pig,Sscrofa10.2
release-86,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-86,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-87,bos_taurus,bovine,UMD3.1
release-87,canis_familiaris,dog,CanFam3.1
release-87,danio_rerio,zebrafish,GRCz10
release-87,drosophila_melanogaster,fruit fly,BDGP6
release-87,equus_caballus,horse,EquCab2
release-87,felis_catus,cat,Felis_catus_6.2
release-87,gallus_gallus,chicken,Gallus_gallus-5.0
release-87,homo_sapiens,human,GRCh38
release-87,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-87,meleagris_gallopavo,wild turkey,UMD2
release-87,monodelphis_domestica,gray short-tailed opossum,BROADO5
release-87,mus_musculus,mouse,GRCm38
release-87,nomascus_leucogenys,northern white-cheeked gibbon,Nleu1.0
release-87,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-87,ovis_aries,sheep,Oar_v3.1
release-87,pan_troglodytes,chimpanzee,CHIMP2.1.4
release-87,pongo_abelii,sumatran orangutan,PPYG2
release-87,rattus_norvegicus,rat,Rnor_6.0
release-87,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-87,sus_scrofa,pig,Sscrofa10.2
release-87,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-87,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-88,bos_taurus,bovine,UMD3.1
release-88,canis_familiaris,dog,CanFam3.1
release-88,danio_rerio,zebrafish,GRCz10
release-88,drosophila_melanogaster,fruit fly,BDGP6
release-88,equus_caballus,horse,EquCab2
release-88,felis_catus,cat,Felis_catus_6.2
release-88,gallus_gallus,chicken,Gallus_gallus-5.0
release-88,homo_sapiens,human,GRCh38
release-88,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-88,meleagris_gallopavo,wild turkey,UMD2
release-88,monodelphis_domestica,gray short-tailed opossum,BROADO5
release-88,mus_musculus,mouse,GRCm38
release-88,nomascus_leucogenys,northern white-cheeked gibbon,Nleu1.0
release-88,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-88,ovis_aries,sheep,Oar_v3.1
release-88,pan_troglodytes,chimpanzee,CHIMP2.1.4
release-88,pongo_abelii,sumatran orangutan,PPYG2
release-88,rattus_norvegicus,rat,Rnor_6.0
release-88,saccharomyces_cerevisiae,baker's yeast,R64-1-1
release-88,sus_scrofa,pig,Sscrofa10.2
release-88,taeniopygia_guttata,zebra finch,taeGut3.2.4
release-88,tetraodon_nigroviridis,spotted green pufferfish,TETRAODON8
release-89,bos_taurus,bovine,UMD3.1
release-89,canis_familiaris,dog,CanFam3.1
release-89,danio_rerio,zebrafish,GRCz10
release-89,drosophila_melanogaster,fruit fly,BDGP6
release-89,equus_caballus,horse,EquCab2
release-89,felis_catus,cat,Felis_catus_6.2
release-89,gallus_gallus,chicken,Gallus_gallus-5.0
release-89,homo_sapiens,human,GRCh38
release-89,macaca_mulatta,rhesus macaque,Mmul_8.0.1
release-89,meleagris_gallopavo,wild turkey,UMD2
release-89,monodelphis_domestica,gray short-tailed opossum,BROADO5
release-89,mus_musculus,mouse,GRCm38
release-89,nomascus_leucogenys,northern white-cheeked gibbon,Nleu1.0
release-89,ornithorhynchus_anatinus,duckbill platypus,OANA5
release-89,ovis_aries,sheep,Oar_v3.1
release-89,pan_troglodytes,chimpanzee,CHIMP2.1.4
release-89,pongo_abelii,sumatran orangutan,PPYG2
